candid cc code,candid cc type,candid cc name,block group,longitude,latitude,neighborhoodId,demand
ccc121170026,school,stenstrom elementary school,121170213211,-81.19016,28.65455,"('12117', 'oviedo')",1.6477698224127373
ccc121170027,school,partin elementary school,121170212031,-81.15644,28.65039,"('12117', 'live oak reserve')",17.26747340861416
ccc121170028,school,lake howell high school,121170222073,-81.27424,28.63713,"('12117', 'lake howell')",62.74780233302878
ccc121170029,school,walker elementary school,121170212061,-81.12603,28.64884,"('12117', 'east seminole country')",2.508929213125039
ccc121170030,school,double r private school,121170212061,-81.11451,28.65362,"('12117', 'east seminole country')",3.0959455002325504
ccc121170031,church,east coast believers church 2,121170213172,-81.24857,28.62003,"('12117', 'oviedo')",0.0
ccc121170032,church,willow creek church,121170221063,-81.28149,28.66217,"('12117', 'casselberry')",10.645879049610262
ccc121170033,church,oviedo presbyterian church,121170213161,-81.17336,28.63701,"('12117', 'live oak reserve')",53.94624552121719
ccc121170034,church,cornerstone community church,121170213182,-81.26588,28.63025,"('12117', 'lake howell')",0.0
ccc121170035,church,st luke's lutheran church,121170213142,-81.23112,28.64628,"('12117', 'oviedo')",8.11473184011027
ccc121170036,church,epiphany lutheran church,121170222073,-81.26663,28.64107,"('12117', 'lake howell')",33.14406352310223
ccc121170037,church,st mary & archangel michael coptic orthodox church,121170212014,-81.16472,28.6852,"('12117', 'east seminole country')",1.4679410798642394
ccc121170038,church,action church,121170222065,-81.28713,28.63328,"('12117', 'lake howell')",0.0
ccc121170039,church,grace church,121170213072,-81.27123,28.65191,"('12117', 'winter springs')",6.542627960848096
ccc121170040,church,river run christian church,121170212031,-81.13052,28.61422,"('12117', 'live oak reserve')",2.578055544201965
ccc121170042,church,first baptist church of chuluota,121170212051,-81.12686,28.62946,"('12117', 'east seminole country')",6.295928908241559
ccc121170043,church,geneva church of christ,121170212011,-81.11721,28.74165,"('12117', 'east seminole country')",7.963402395581397
ccc121170070,school,sweetwater oaks nursery school,121170216091,-81.4203,28.70494,"('12117', 'alaqua')",21.277704934388435
ccc121170071,school,south seminole middle school,121170221043,-81.32014,28.66203,"('12117', 'casselberry')",13.662536123120693
ccc121170074,church,compass community church,121170217083,-81.44308,28.64688,"('12117', 'bear lake')",1.229277432513497
ccc121170075,church,orlando grace church,121170218063,-81.3663,28.6463,"('12117', 'altamonte springs')",19.55456385525071
ccc121170076,church,first baptist church of casselberry,121170221041,-81.32112,28.6768,"('12117', 'casselberry')",9.571431853942492
ccc121170077,church,st mark's presbyterian church usa,121170219022,-81.37377,28.68263,"('12117', 'altamonte springs')",11.228396426058108
ccc121170078,church,starlight baptist church,121170214043,-81.29357,28.68838,"('12117', 'highlands')",1.0166470759360071
ccc121170079,church,a new beginning-pentecostal church of god,121170216171,-81.38446,28.71253,"('12117', 'wekiva springs')",5.489382234055277
ccc121170080,church,longwood hills congregational church,121170215051,-81.36687,28.71283,"('12117', 'longwood')",3.7450164355206903
ccc121170081,church,st. petka serbian orthodox church,121170208081,-81.35872,28.72596,"('12117', 'longwood lakes')",4.336201841625725
ccc121170082,church,markham woods prebyterian church,121170207031,-81.38081,28.77561,"('12117', 'alaqua')",6.603759561529862
ccc121170083,church,lighthouse baptist church,121170207072,-81.37849,28.79331,"('12117', 'saint josephs')",0.0
ccc121170084,church,blessed house international church,121170208034,-81.33474,28.7458,"('12117', 'lake mary')",7.334344199886262
ccc121170085,church,church of jesus christ of latter-day saints,121170208114,-81.3586,28.73571,"('12117', 'greenwood lakes')",0.0
ccc121170086,church,sent church,121170208111,-81.33428,28.7341,"('12117', 'greenwood lakes')",5.128996727047399
ccc121170087,church,seminole community church,121170207071,-81.34957,28.82603,"('12117', 'saint josephs')",2.5715694650393877
ccc121170088,church,crossings community church,121170207072,-81.36453,28.80558,"('12117', 'saint josephs')",2.0287610242538556
