grocery store code,candid x (longitude),candid y (latitude),name
egs120950255,-81.46237,28.64132,harvest valley ii
egs120950256,-81.46806,28.65229,apopka market place
egs120950257,-81.46601,28.65265,sunbelt natural foods
egs120950258,-81.47939,28.67228,aldi
egs120950259,-81.47601,28.67261,los girasoles supermarket and restaurant
egs120950260,-81.54718,28.69028,la parada mexicana deli mart
egs120950261,-81.51144,28.65749,ray's grocery
egs120950262,-81.48517,28.67266,rja foodmart
egs120950263,-81.50918,28.6673,la taxqvena
egs120950264,-81.49416,28.67421,save-a-lot
egs120950265,-81.46531,28.67377,compare supermarket
egs120950266,-81.49412,28.67188,bravo supermarket
egs120950267,-81.51149,28.67245,ace meat and grocery
egs120950268,-81.50319,28.67375,mi mexico
egs120950269,-81.51149,28.66632,central grocery
egs120950270,-81.55735,28.69093,xochitl grocery store
egs120950271,-81.53728,28.68806,winn-dixie
egs120950272,-81.508,28.70736,publix
egs120950273,-81.62416,28.77408,mt dora food mart
egs120950274,-81.62296,28.77978,publix
egs120950275,-81.60585,28.73077,ziggy's food shack
egs120950276,-81.60968,28.74469,finer gourmet foods
egs120950277,-81.50872,28.7138,trader maes furniture and decor market
egs120950278,-81.45508,28.40597,king garib
egs120950279,-81.40471,28.39873,iga
egs120950280,-81.39628,28.40673,roma food group
egs120950281,-81.42541,28.3808,produce market & halal meat
egs120950282,-81.42541,28.3808,all natural food
egs120950283,-81.40401,28.40175,bangla bazaar international foods
egs120950284,-81.40563,28.39875,jumbo meat fish and produce
egs120950285,-81.40565,28.38016,meat emporium
egs120950286,-81.40304,28.3774,sedano's
egs120950287,-81.40451,28.40314,ar grocery
egs120950288,-81.4044,28.38579,aldi
egs120950289,-81.40595,28.38249,walmart neighborhood market
egs120950290,-81.40795,28.40729,deguzman oriental food mart
egs120950291,-81.40473,28.40176,la hacienda meat market
egs120950292,-81.40591,28.39711,everest market
egs120950293,-81.40421,28.39547,bombay bazaar
egs120950294,-81.44822,28.40737,publix
egs120950295,-81.40279,28.38866,publix
egs120950296,-81.38539,28.45096,aldi
egs120950297,-81.44648,28.45102,tangelo food store
egs120950298,-81.40087,28.44968,kroger
egs120950299,-81.4295,28.44436,all natural food
egs120950300,-81.40685,28.45378,publix
egs120950301,-81.4144,28.45781,proficient food
egs120950302,-81.40103,28.46066,british food imports
egs120950303,-81.40365,28.44176,shoe land
egs120950304,-81.4118,28.44982,quirch foods
egs120950305,-81.40629,28.44958,publix
egs120950306,-81.43882,28.45395,abc cash and carry
egs120950307,-81.40418,28.44844,patel brothers
egs120950308,-81.40356,28.44094,gfs marketplace
egs120950309,-81.40583,28.42446,apna bazar
egs120950310,-81.40432,28.42307,jm oriental market
egs120950311,-81.41645,28.44784,majestic foods
egs120950312,-81.44454,28.42703,publix
egs120950313,-81.39821,28.45476,publix
egs120950314,-81.35927,28.45833,james hughes food cart
egs120950315,-81.36673,28.41416,bimbo foods
egs120950316,-81.37265,28.41499,goya foods of florida
egs120950317,-81.34821,28.43601,basciani foods
egs120950318,-81.36764,28.42894,aman food mart
egs120950319,-81.45322,28.46227,brazilian food market
egs120950320,-81.43006,28.49367,target
egs120950321,-81.45569,28.46326,seabra foods orlando
egs120950322,-81.42774,28.47322,bravo supermarket
egs120950323,-81.42814,28.47222,oakridge onestop
egs120950324,-81.4422,28.47881,millenia grocery
egs120950325,-81.42886,28.47198,la suprema grocery
egs120950326,-81.45335,28.46189,supermercado brasileiro
egs120950327,-81.38408,28.46542,plaza romeo
egs120950328,-81.39868,28.49808,eben ezer market
egs120950329,-81.39297,28.47721,richard's produce
egs120950330,-81.40841,28.47245,economy farmers market
egs120950331,-81.39695,28.4938,quadro supermarket 3
egs120950332,-81.39693,28.49345,southwest mega meats
egs120950333,-81.40184,28.49245,sharon m thomas flea market
egs120950334,-81.3969,28.48877,singh brothers flea market
egs120950335,-81.39567,28.47255,la marketa supermarket
egs120950336,-81.4114,28.47243,la mexicana meat market
egs120950337,-81.3948,28.46531,oether foods
egs120950338,-81.40841,28.48663,mi bandera supermarket
egs120950339,-81.39767,28.49902,chris food mart
egs120950340,-81.38519,28.46537,dream caribbean supermarket
egs120950341,-81.38404,28.47241,chevron orlando
egs120950342,-81.39696,28.49778,el campestre latin food
egs120950343,-81.39904,28.49637,save-a-lot
egs120950344,-81.39605,28.49771,aldi
egs120950345,-81.39589,28.46924,house of spices
egs120950346,-81.40907,28.4732,grocery box
egs120950347,-81.40694,28.4859,lamour super market
egs120950348,-81.39641,28.47738,el toro supermarket
egs120950349,-81.41621,28.47282,mi bandera supermarket
egs120950350,-81.41107,28.47129,busy bee supermarket
egs120950351,-81.39642,28.48242,nellys sandwich house
egs120950352,-81.39579,28.46399,winn-dixie
egs120950353,-81.38633,28.46644,plaza tropical supermarket
egs120950354,-81.41547,28.48777,publix
egs120950355,-81.41791,28.53147,mike's food star
egs120950356,-81.4054,28.53242,goma peace food store
egs120950357,-81.43357,28.52877,vereen grocery
egs120950358,-81.38182,28.51503,express fruit
egs120950359,-81.38182,28.51503,mr greenjeans produce
egs120950360,-81.41247,28.54366,grocery delivery for you
egs120950361,-81.38898,28.53664,adam food store
egs120950362,-81.38832,28.53825,lazarous grocery
egs120950363,-81.39569,28.51458,mega market
egs120950364,-81.38136,28.52601,aida's latin foods
egs120950365,-81.38168,28.51651,pay-less wholesale cash & carry foods
egs120950366,-81.41792,28.5332,best food market
egs120950367,-81.44742,28.54164,pine food mart
egs120950368,-81.4213,28.52702,big earl's
egs120950369,-81.43363,28.50833,pastry chef resource
egs120950370,-81.41653,28.52774,walmart neighborhood market
egs120950371,-81.39301,28.53308,big b supermarket
egs120950372,-81.4508,28.54069,kiki caribbean market
egs120950373,-81.43244,28.50868,international food club
egs120950374,-81.3928,28.52648,gw corner market
egs120950375,-81.3985,28.54441,jack's caribbean market
egs120950376,-81.40099,28.5165,rio grande grocery store
egs120950377,-81.38724,28.54018,sy's supermarket
egs120950378,-81.42165,28.52732,washington shore supermarket
egs120950379,-81.4266,28.51746,save-a-lot
egs120950380,-81.38912,28.5305,al's food store
egs120950381,-81.38506,28.53834,sunlite jr food store
egs120950382,-81.3912,28.53925,jr's foodstore
egs120950383,-81.40122,28.51302,new way grocery
egs120950384,-81.4139,28.54024,west church food store
egs120950385,-81.42474,28.52697,sam's supermarket
egs120950386,-81.4012,28.51672,jacks caribbean & american market
egs120950387,-81.39686,28.51539,young's market & deli
egs120950388,-81.39872,28.53066,family foods supermarket
egs120950389,-81.36862,28.47065,equisite foods
egs120950390,-81.37652,28.47277,placita produce
egs120950391,-81.37649,28.47277,buena vista grocery
egs120950392,-81.31547,28.49519,conoley fruit harvesters
egs120950393,-81.37417,28.47855,nuchia food
egs120950394,-81.37007,28.47811,edgewood farmers market
egs120950395,-81.31009,28.49492,fonda el criollito restaurant
egs120950396,-81.3115,28.49779,walmart neighborhood market
egs120950397,-81.36898,28.47195,friendly market
egs120950398,-81.3294,28.48162,publix
egs120950399,-81.34211,28.52421,clemons produce
egs120950400,-81.37444,28.54137,ideal foods
egs120950401,-81.37635,28.51849,tinkas fruits nuts
egs120950402,-81.37998,28.51279,harvest food center
egs120950403,-81.37232,28.54132,fit girl catering and events
egs120950404,-81.3692,28.54234,central city market
egs120950405,-81.37942,28.51573,target
egs120950406,-81.37533,28.51175,walmart neighborhood market
egs120950407,-81.37122,28.51292,luihn foods
egs120950408,-81.3547,28.52405,sunshine food store
egs120950409,-81.34416,28.52361,nature's market
egs120950410,-81.34347,28.52509,bally food mart
egs120950411,-81.37272,28.54223,publix
egs120950412,-81.37367,28.51004,publix
egs120950413,-81.34475,28.52366,winn-dixie
egs120950414,-81.3328,28.52422,plaza mexi
egs120950415,-81.31069,28.54175,fems mini mart
egs120950416,-81.31033,28.52607,global food
