grocery store code,candid x (longitude),candid y (latitude),name
egs120970130,-81.25453,28.24592,aldi
egs120970131,-81.28815,28.24888,10th street produce
egs120970132,-81.22443,28.24424,ganesh in cloud
egs120970133,-81.2964,28.24588,thrifty specialty produce & meats
egs120970134,-81.19177,28.23568,downtown market
egs120970136,-81.2992699998,28.33542,v g s farmer's market
egs120970137,-81.2889,28.24606,borinquen groceries & video
egs120970138,-81.23941,28.29798,narcoossee grocery
egs120970139,-81.29386,28.22309,walmart neighborhood market
egs120970140,-81.2889,28.24606,st cloud supermarket
egs120970142,-81.20674,28.24132,jiffy foods
egs120970143,-81.2427,28.2477,publix
egs120970144,-81.27979,28.24643,save-a-lot
egs120970145,-81.24531,28.24736,winn-dixie
egs121170002,-81.3288,28.80289,walmart
egs121170003,-81.321,28.63605,walmart
egs121170004,-81.26169,28.61745,walmart
egs121170544,-81.32395,28.62133,opportunities-smg
egs121170548,-81.31684,28.62644,publix
egs121170550,-81.38468,28.66239,stop & shop
egs121170551,-81.44724,28.6938,365 hunt club market
egs121170552,-81.45582,28.67074,walmart neighborhood market
egs121170553,-81.42107,28.66549,fancy fruit and produce
egs121170554,-81.41282,28.67127,longwood nursery & flea market
egs121170555,-81.39036,28.67372,elite foods orlando
egs121170556,-81.3937,28.68793,petty's meat market
egs121170557,-81.41346,28.64464,publix
egs121170559,-81.45916,28.64373,three star flea market
egs121170560,-81.3868,28.69186,pickles authentic new york delicatessen
egs121170561,-81.4537,28.67055,sustain natural market
egs121170562,-81.41791,28.66298,target
egs121170563,-81.42062,28.66434,aldi
egs121170564,-81.41905,28.66907,stop n shop
egs121170565,-81.42156,28.65721,winn-dixie
egs121170566,-81.40383,28.68656,chamberlin's market & cafe
egs121170567,-81.40382,28.68799,publix
egs121170568,-81.41897,28.68186,publix
egs121170569,-81.45616,28.70934,publix
egs121170570,-81.45089,28.6716,publix
egs121170571,-81.41511,28.64545,publix
egs121170572,-81.3733,28.66513,publix
egs121170573,-81.34096,28.66163,kash n' karry
egs121170574,-81.32414,28.64832,save-a-lot
egs121170575,-81.32963,28.65262,family produce market
egs121170576,-81.38024,28.66317,whole foods
egs121170577,-81.34972,28.66531,sophia food store
egs121170579,-81.35222,28.66283,gfs marketplace
egs121170580,-81.34986,28.65272,winn-dixie
egs121170582,-81.33249,28.6979,europe market
egs121170583,-81.3752,28.67178,e foods
egs121170584,-81.34083,28.69787,sunshine market ing
egs121170585,-81.3625,28.69777,green farm
egs121170586,-81.3218,28.69357,shop 'n save
egs121170587,-81.33961,28.70823,criollo supermarket
egs121170588,-81.32704,28.70248,tomatoes & more
egs121170589,-81.34627,28.69559,greater lifestyle foods
egs121170590,-81.32877,28.69791,fancy fruits & produce
egs121170591,-81.34045,28.67169,target
egs121170592,-81.33249,28.6979,tima's house-euro-balkan grocery
egs121170593,-81.34635,28.70105,wild hare kitchen and garden emporium
egs121170594,-81.3459,28.69201,q mart grocery
egs121170595,-81.30709,28.69854,winter spring food market
egs121170596,-81.34614,28.69651,longwood discount beverage
egs121170597,-81.36096,28.69827,winn-dixie
egs121170598,-81.34635,28.69679,kosher kats marketplace
egs121170599,-81.32795,28.69936,las americas grocery & deli
egs121170600,-81.33215,28.69784,spice house
egs121170601,-81.32795,28.70008,save-a-lot
egs121170602,-81.32201,28.69654,winn-dixie
egs121170603,-81.33444,28.67869,publix
egs121170606,-81.28101,28.61142,publix
egs121170622,-81.26064,28.62023,publix
egs121170642,-81.20872,28.61336,walmart neighborhood market
egs121170646,-81.2064,28.61312,publix
egs121170648,-81.26351,28.69564,aldi
egs121170649,-81.29053,28.64129,forex trader diary
egs121170650,-81.24348,28.68625,jamie renee marlett farmers
egs121170651,-81.2616,28.6982,murphey's premium pet food market
egs121170652,-81.20829,28.65471,sprouts farmers market
egs121170653,-81.30127,28.70026,opportunities smg
egs121170654,-81.15713,28.65203,riverside market
egs121170655,-81.22789,28.65332,cavallari gourmet
egs121170656,-81.23475,28.6645,chamberlins market & cafe
egs121170657,-81.22214,28.66526,food safety training
egs121170658,-81.23565,28.65777,target
egs121170659,-81.26669,28.6478,fresh market
egs121170660,-81.2106,28.6703,southeastern meat association
egs121170661,-81.20923,28.65258,aldi
egs121170662,-81.20834,28.68437,niki food store
egs121170663,-81.26382,28.69914,publix
egs121170664,-81.27812,28.64829,walmart neighborhood market
egs121170665,-81.17867,28.66093,publix
egs121170666,-81.17815,28.65648,winn-dixie
egs121170667,-81.22548,28.66924,publix
egs121170668,-81.26971,28.64656,publix
egs121170669,-81.20552,28.65017,publix
egs121170670,-81.13895,28.64616,publix
egs121170676,-81.3318,28.75533,earth origins market
egs121170677,-81.34999,28.756,prayosha foods
egs121170678,-81.36184,28.73546,kroger
egs121170679,-81.35824,28.76091,pure markets
egs121170680,-81.34851,28.75277,farmer's treasures
egs121170681,-81.35994,28.74009,horizon foods
egs121170682,-81.32586,28.77295,reliv independent distributors
egs121170683,-81.32414,28.78253,seven circle food mart
egs121170684,-81.36512,28.7753,mediterranean gold olive oil
egs121170685,-81.36819,28.73565,digital juice
egs121170686,-81.35828,28.75429,fresh market
egs121170687,-81.34893,28.75458,target
egs121170688,-81.30471,28.78391,walmart neighborhood market
egs121170689,-81.32211,28.75766,lake mary farmer's market
egs121170690,-81.31649,28.79035,upsala grocery
egs121170691,-81.33181,28.75536,health nut express
egs121170692,-81.35714,28.78741,publix
egs121170693,-81.34954,28.75458,publix
egs121170694,-81.3457,28.78121,publix
egs121170695,-81.30444,28.73743,publix
egs121170696,-81.36937,28.75727,winn-dixie
egs121170697,-81.37155,28.81302,tami walker flea market
egs121170698,-81.37151,28.82925,waterkist farm
egs121170699,-81.33622,28.79999,nap seminole market place
egs121170700,-81.32964,28.82041,nutty bavarian
egs121170701,-81.34019,28.8051,monster martial arts
egs121170702,-81.33726,28.79842,target
egs121170703,-81.31948,28.80161,schwann sales
egs121170704,-81.32369,28.81224,aldi
egs121170705,-81.35346,28.81265,publix
egs121170706,-81.28234,28.75992,walmart
egs121170707,-81.22929,28.7868,family grocery
egs121170708,-81.29734,28.80476,geneva foods
egs121170709,-81.28823,28.75503,discount grocery fruit
egs121170710,-81.27302,28.78303,fresh seafood & grocery
egs121170711,-81.27313,28.79909,best of all retails
egs121170712,-81.26933,28.7569,red hill groves
egs121170713,-81.25873,28.73848,hopkins meat packing
egs121170714,-81.28708,28.80071,southwest food mart
egs121170715,-81.28342,28.79984,golds boro food mart
egs121170716,-81.27144,28.80078,food with care
egs121170717,-81.26477,28.78701,baggs produce
egs121170718,-81.25937,28.78898,stricklands meat market
egs121170719,-81.27516,28.77807,save-a-lot
egs121170720,-81.27905,28.76224,soulfire foods
egs121170721,-81.29333,28.75785,lake mary food mart
egs121170722,-81.26713,28.81175,le chic bazaar
egs121170723,-81.28972,28.75567,deguzman oriental food mart
egs121170724,-81.27831,28.77216,bravo supermarket
egs121170725,-81.29243,28.77476,sunshine discount
egs121170726,-81.28464,28.75947,aldi
egs121170727,-81.27343,28.78719,save-a-lot
egs121170728,-81.29332,28.7462,paradise popcorn
egs121170729,-81.29031,28.75018,kwik stop food store
egs121170730,-81.26494,28.80932,jaly fresh market
egs121170731,-81.27465,28.79802,winn-dixie
egs121170732,-81.11792,28.74166,geneva grocery & feed
egs121170733,-81.11554,28.73367,geneva general store
